Name,Code,Region,Industry,is_alive,expiry_date
"TANGSHAN JIDONG CEMENT CO.,LTD",000401,North China,Manufacturing,1,
"FINANCIAL STREET HOLDINGS CO., LTD.",000402,North China,Estate,1,
"Southern Shuanglin Bio-pharmacy Co., LTD",000403,North China,Manufacturing,1,
"CHANGHONG HUAYI COMPRESSOR CO., LTD.",000404,East China,Manufacturing,1,
"Zhuhai Kingma Holding Co.,Ltd.",000405,South China,Comprehensive,0,2004-03
"SHANDONG SHENGLI CO., LTD.",000407,East China,Utilities,1,
ZANGGE HOLDING COMPANY LIMITED,000408,NorthWest China,Manufacturing,1,
"SHANDONG GEO-MINERAL CO., LTD",000409,East China,Comprehensive,1,
"SHENYANG MACHINE TOOL CO.,LTD",000410,NorthEast China,Manufacturing,1,
"ZHEJIANG INT’L GROUP CO.,LTD.",000411,East China,Wholesale & Retail,1,
"Tunghsu Optoelectronic Technology Co., Ltd.",000413,North China,Manufacturing,1,
"Bohai Leasing Co.,Ltd.",000415,NorthWest China,Business Service,1,
"Minsheng Holdings Co.,Ltd",000416,East China,Financial,1,
"HEFEI DEPARTMENT STORE GROUP CO.,LTD",000417,East China,Wholesale & Retail,1,
"CHANGSHA TONGCHENG HOLDINGS CO.,LTD",000419,Central China,Wholesale & Retail,1,
"JILIN CHEMICAL FIBRE CO ., LTD",000420,NorthEast China,Manufacturing,1,
"NanJing Public Utilities Development Co., Ltd.",000421,East China,Utilities,1,
"HUBEI YIHUA CHEMICAL INDUSTRY CO., LTD",000422,Central China,Manufacturing,1,
"Dong-E-E-Jiao Co., Ltd.",000423,East China,Manufacturing,1,
"XCMG Construction Machinery Co., Ltd.",000425,East China,Manufacturing,1,
"INNER MONGOLIA XINGYE MINING CO.,LTD",000426,North China,Mining,1,
"HUATIAN HOTEL GROUP  CO.,LTD.",000428,Central China,Food,1,
"GUANGDONG PROVINCIAL EXPRESSWAY DEVELOPMENT CO.,LTD",000429,South China,Transportation,1,
"ZHANG JIA JIE TOURISM GROUP CO.,LTD",000430,Central China,Environment Protection,1,
"SHANDONG CHENMING PAPER HOLDINGS CO.,LTD",000488,East China,Manufacturing,1,
"SHANDONG HI-SPEED ROAD&BRIDGE GROUP CO., LTD.",000498,East China,Construction,1,
WUHAN DEPARTMENT STORE GROUP CO.LTD,000501,Central China,Wholesale & Retail,1,
"LVJING HOLDING CO.,LTD",000502,South China,Estate,1,
"China Reform Health Management and Services Group Co., Ltd.",000503,South China,Information Technology,1,
"NanHua Bio-medicine CO.,Ltd?",000504,Central China,Research Service,1,
"Hainan Jingliang Holdings Co., Ltd.",000505,South China,Manufacturing,1,
Zhongrun Resources Investment Corporation,000506,East China,Mining,1,
"ZHUHAI  PORT  CO., LTD",000507,South China,Transportation,1,
"Huasu Holdings CO.,Ltd",000509,SouthWest China,Manufacturing,1,
"SICHUAN XINJINLU GROUP CO.,LTD",000510,SouthWest China,Manufacturing,1,
"Ingenious Ene-Carbon New Materials Group Co.,Ltd.",000511,NorthEast China,Mining,0,2018-06
LIVZON PHARMACEUTICAL GROUP INC.,000513,South China,Manufacturing,1,
"CHONGQING YUKAIFA CO.,LTD",000514,SouthWest China,Estate,1,
"Chongqing Titanium Industry Co.,Ltd of Pangang Group",000515,SouthWest China,Chemical,0,2009-05
"XI""AN INTERNATIONAL MEDICAL INVESTMENT COMPANY LIMITED",000516,NorthWest China,Healthcare,1,
"Rongan Property Co.,Ltd.",000517,East China,Estate,1,
"JIANGSU SIHUAN BIOENGINEERING CO.,LTD",000518,East China,Manufacturing,1,
"NORTH INDUSTRIES GROUP RED ARROW CO., LTD",000519,Central China,Manufacturing,1,
"Chang Jiang Shipping Group Phoenix Co.,Ltd",000520,Central China,Transportation,1,
"CHANGHONG MEILING CO.,LTD.",000521,East China,Manufacturing,1,
"LONKEY INDUSTRIAL CO.,LTD. GUANGZHOU",000523,South China,Manufacturing,1,
Guangzhou Lingnan Group Holdings Company Limited,000524,South China,Food,1,
"NANJING RED SUN CO., LTD",000525,East China,Manufacturing,1,
"XIAMEN UNIGROUP XUE CO.,LTD.",000526,East China,Education,1,
"GUANGXI LIUGONG MACHINERY CO., LTD",000528,South China,Manufacturing,1,
"GUANGDONG GUANGHONG HOLDINGS CO.,LTD.",000529,South China,Manufacturing,1,
"Bingshan Refrigeration & Heat Transfer Technologies Co.,Ltd.",000530,NorthEast China,Manufacturing,1,
"GUANGZHOU HENGYUN ENTERPRISES HOLDING CO.,LTD",000531,South China,Utilities,1,
"Zhuhai Huajin Capital Co., Ltd.",000532,South China,Comprehensive,1,
"Guangdong Shunna Electric Co. ,Ltd.",000533,South China,Manufacturing,1,
"WEDGE INDUSTRIAL CO.,LTD.",000534,South China,Manufacturing,1,
"KMK Co.,Ltd.",000535,NorthEast China,Manufacturing,0,2005-09
"CPT TECHNOLOGY (GROUP) CO., LTD",000536,East China,Manufacturing,1,
"TIANJIN GUANGYU DEVELOPMENT CO., LTD",000537,North China,Estate,1,
"YUNNAN BAIYAO GROUP CO.,LTD.",000538,SouthWest China,Manufacturing,1,
"GUANGDONG ELECTRIC POWER DEVELOPMENT CO., LTD",000539,South China,Utilities,1,
Zhongtian Financial Group Company Limited,000540,SouthWest China,Estate,1,
"FOSHAN ELECTRICAL AND LIGHTING CO., LTD",000541,South China,Manufacturing,1,
